"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"428",779,654,2,130,1106,929.79055919861,176.20944080139
"429",190,1090,3,156,569,954.355046296239,-385.355046296239
"430",1509,1131,3,148,1191,956.906493192325,234.093506807675
"431",1061,1150,4,37,1410,945.098297011645,464.901702988355
"432",324,1090,3,139,595,953.54363635559,-358.54363635559
"433",1092,1150,4,286,555,956.983066142328,-401.983066142328
"434",338,1090,3,139,638,953.54363635559,-315.54363635559
"435",404,1090,3,139,1218,953.54363635559,264.45636364441
"436",2019,881,5,75,955,919.79731865153,35.2026813484698
"437",1251,1150,4,210,768,953.355586407661,-185.355586407661
"438",377,1138,3,211,832,960.414288047428,-128.414288047428
"439",820,654,2,130,1136,929.79055919861,206.20944080139
"440",1950,881,5,451,896,937.743797338826,-41.743797338826
"441",767,654,2,130,59,929.79055919861,-870.79055919861
"442",2051,881,5,75,998,919.79731865153,78.2026813484698
"443",571,654,2,255,852,935.756808762205,-83.7568087622053
"444",2126,881,5,11,532,916.742598874969,-384.742598874969
"445",2278,881,5,66,711,919.367748682951,-208.367748682951
"446",1873,1131,3,131,793,956.095083251676,-163.095083251676
"447",2198,881,5,86,1169,920.322348613127,248.677651386873
"448",2213,881,5,423,1109,936.40735743658,172.592642563419
"449",412,1090,3,139,1423,953.54363635559,469.45636364441
"450",1858,1131,3,149,776,956.954223188834,-180.954223188834
"451",1688,1131,3,332,483,965.688812549938,-482.688812549938
"452",1947,881,5,68,893,919.463208675969,-26.4632086759688
"453",1832,1131,3,219,1389,960.295322944447,428.704677055553
"454",606,654,2,149,1062,930.697429132276,131.302570867724
"455",1654,1131,3,166,1373,957.765633129483,415.234366870517
"456",1348,1150,4,307,559,957.985396069012,-398.985396069012
"457",625,654,2,231,1195,934.611288845995,260.388711154005
"458",1515,1131,3,321,1191,965.163782588342,225.836217411658
"459",1279,1150,4,76,774,946.959766875487,-172.959766875487
"460",137,1090,3,214,1208,957.123386093748,250.876613906252
"461",1971,881,5,75,913,919.79731865153,-6.79731865153019
"462",380,1090,3,139,918,953.54363635559,-35.5436363555904
"463",1875,1131,3,66,609,952.992633478606,-343.992633478606
"464",621,654,2,231,1191,934.611288845995,256.388711154005
"465",1630,1131,3,225,1310,960.5817029235,349.4182970765
"466",2059,881,5,214,1013,926.431788166249,86.5682118337514
"467",1840,989,3,328,838,955.338703898583,-117.338703898583
"468",1926,881,5,397,888,935.166377527353,-47.1663775273526
"469",1906,868,5,460,881,937.243300739453,-56.243300739453
